"filename", "language", "Dart", "comment", "blank", "total"
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/widgets/song_widgets/song_widget_vertical.dart", "Dart", 168, 33, 12, 213
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/widgets/song_widgets/song_widget_vertical2.dart", "Dart", 216, 33, 12, 261
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/widgets/suggestion_shimmer.dart", "Dart", 14, 0, 3, 17
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/widgets/text_widget.dart", "Dart", 28, 0, 2, 30
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view_model/app_user/app_user_view_model.dart", "Dart", 152, 4, 36, 192
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view_model/artist/artist_view_model.dart", "Dart", 135, 4, 33, 172
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view_model/auth/auth_view_hodel.dart", "Dart", 33, 0, 9, 42
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view_model/category/category_list_view_model.dart", "Dart", 119, 12, 27, 158
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view_model/category/category_view_model.dart", "Dart", 132, 4, 33, 169
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view_model/dark_theme_view_model.dart", "Dart", 33, 2, 8, 43
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view_model/home_view_model.dart", "Dart", 43, 9, 10, 62
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view_model/image_view_model.dart", "Dart", 38, 0, 9, 47
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view_model/menu_view_model.dart", "Dart", 52, 14, 11, 77
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view_model/offer/offer_view_model.dart", "Dart", 115, 3, 27, 145
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view_model/order_way_view_model.dart", "Dart", 26, 0, 2, 28
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view_model/section/section_list_view_model.dart", "Dart", 113, 11, 26, 150
